Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MeanCells,CountVol,CF,CellCount,ChlExtr,ChlVol,ChlpmL,ChlpCell,lnCells,Mu,Timestamp,Fv.Fm,Fm,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I
,Ctrl,SM,100,NA,A,0,155.00,20.0,1.00,7750.00,19.9376,4,24.92,3.216,8.955,,56980,0.458,20271,147.8524151,2.129082008,2.53E-23,1.508241233,0.032110719,2.77E-20,98.02968644,113.8325972
,Ctrl,SM,100,NA,A,1,39.00,2.0,1.00,19500.00,47.2468,4,59.06,3.029,9.878,0.923,59558,0.46,50596,141.7650404,1.242736831,3.40E-27,1.540009848,0.021830542,1.91E-23,92.05463233,112.7780464
,Ctrl,SM,100,NA,A,2,81.00,2.0,1.00,40500.00,110.401,4,138.00,3.407,10.609,0.827,59537,0.42,127214,210.9187474,2.638715834,2.02E-24,1.715963588,0.022263833,3.89E-24,122.9156311,141.6430842
,Ctrl,SM,100,NA,A,4,58.00,0.3,0.60,116795.95,210.7536,4,263.44,2.256,11.668,0.666,52171,0.426,16090,75.45277573,1.248565824,3.05E-22,1.398719357,0.067324797,4.99E-14,53.94418498,71.83855378
,Ctrl,SM,100,NA,A,6,66.17,0.3,0.60,133241.36,76.9412,2,192.35,1.444,11.800,0.474,59626,0.295,8119,68.0888128,1.053392952,9.14E-23,1.653414542,0.08995911,4.12E-13,41.18072695,67.03799072
,Ctrl,SM,100,NA,A,8,93.50,0.3,0.60,188283.13,62.965,2,157.41,0.836,12.146,0.380,63787,0.305,6734,42.67565429,1.133975259,1.44E-18,1.526346925,0.170217345,4.65E-08,27.95934108,42.6089343
,Ctrl,SM,100,NA,A,10,67.50,0.3,0.60,135926.32,64.171,2,160.43,1.180,11.820,0.280,62749,0.296,4899,-56.04689886,0.74549361,6.08E-24,1.570668426,0.079349659,1.15E-13,-35.68346948,55.63590353
,Ctrl,SM,100,NA,A,12,,,,,,,,,,,,,,,,,,,,,
,Ctrl,SM,100,NA,A,14,25.67,0.1,1.00,256666.67,55.8228,2,139.56,0.544,12.456,0.219,54963,0.235,6895,-47.99632205,0.989015271,1.55E-20,2.59839391,0.254258447,6.39E-09,-18.47153423,47.99441694
,Ctrl,SM,100,NA,B,0,156.67,20.0,1.00,7833.33,21.3848,4,26.73,3.412,8.966,,57510,0.456,19061,147.0766959,1.19582759,8.78E-28,1.438090878,0.016236628,3.21E-25,102.2721847,110.6170544
,Ctrl,SM,100,NA,B,1,29.50,2.0,1.00,14750.00,45.77,4,57.21,3.879,9.599,0.633,60137,0.454,53097,140.1494549,1.911191611,9.51E-24,1.463145183,0.030503726,1.91E-20,95.78643085,109.2406816
,Ctrl,SM,100,NA,B,2,89.00,2.0,1.00,44500.00,117.1144,4,146.39,3.290,10.703,0.869,60024,0.452,115790,187.7331804,2.864512292,7.13E-23,1.468103948,0.021736228,4.16E-23,127.8745832,122.7516772
