Label,MCstrain,Prey,Light,Fed,Rep,ExptDay,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,FvFm_0,Sigma_0,ETR
HP10NA,1802,HP,10,N,A,0,hm071919.001,7/19/19,59723,0,3468,7170,7517,3702,4048,0.516,0.539,131.9,0.45,0.48,297,0.4,1397,0.12,33259,--------,-------,794,4618,0,3679,0.06,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3512.3,1,0.516,131.9,0
HP10NA,1802,HP,10,N,A,0,hm071919.002,7/19/19,59761,5,3143,6015,6311,2873,3168,0.478,0.502,121.4,0.41,0.42,287,0.44,1461,0.14,28058,--------,-------,888,4820,0,3291,0.05,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3163.6,1.01,0.516,131.9,7.5027358
HP10NA,1802,HP,10,N,A,0,hm071919.003,7/19/19,59799,10,3517,5672,5917,2155,2400,0.38,0.406,105,0.3,0.41,519,0.32,1638,0.26,20565,--------,-------,1011,6179,0,3657,0.04,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3475.8,0.98,0.516,131.9,11.929036
HP10NA,1802,HP,10,N,A,0,hm071919.004,7/19/19,59837,15,3461,5026,5220,1565,1759,0.311,0.337,96.8,0.28,0.63,898,0.14,16926,0.23,17419,--------,-------,3884,7012,0,3559,0.03,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3306,0.91,0.516,131.9,14.6444613
HP10NA,1802,HP,10,N,A,0,hm071919.005,7/19/19,59875,20,3307,4571,4723,1264,1416,0.277,0.3,97.3,0.27,0.6,900,0.17,16743,0.23,16759,--------,-------,4440,7282,0,3377,0.02,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3119.7,0.87,0.516,131.9,17.3912788
HP10NA,1802,HP,10,N,A,0,hm071919.006,7/19/19,59912,31.8,3406,4248,4350,842,944,0.198,0.217,88.7,0.25,0.5,1021,0.22,16774,0.28,16778,--------,-------,5841,8867,0,3452,0.01,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3099.9,0.73,0.516,131.9,19.76578481
HP10NA,1802,HP,10,N,A,0,hm071919.007,7/19/19,59950,43.5,3474,4017,4061,542,586,0.135,0.144,92.9,0.31,0.41,1046,0.26,16966,0.33,17001,--------,-------,7170,10443,0,3515,0.01,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3125.9,0.61,0.516,131.9,18.43506945
HP10NA,1802,HP,10,N,A,0,hm071919.008,7/19/19,59988,55.3,3705,4168,4194,463,489,0.111,0.117,87.8,0.21,0.45,1119,0.27,16293,0.29,16360,--------,-------,6783,9527,0,3739,0.01,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3366.3,0.58,0.516,131.9,19.26947413
HP10NA,1802,HP,10,N,A,0,hm071919.009,7/19/19,60026,67.1,3950,4337,4355,386,405,0.089,0.093,88.7,0.25,0.42,1168,0.27,16972,0.31,17039,--------,-------,7369,10352,0,3980,0.01,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3599.1,0.52,0.516,131.9,18.74710792
HP10NA,1802,HP,10,N,A,0,hm071919.010,7/19/19,60064,78.8,4117,4424,4436,307,319,0.069,0.072,99.3,0.38,0.36,1163,0.3,18522,0.34,19506,--------,-------,9048,12558,0,4147,0.01,1600,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,3765.4,0.47,0.516,131.9,17.06856698
