Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MC_cellspmL,Prey_cellspmL,corr_chl_p_cell,FIReTimestamp,FvFm,Fm,Pmax,a,Pmax.err,Pmax.pvalue,a.err,a.pvalue,E_K,ETR_I,Ct_crypto,crypto_qPCR_run,crypto_count,Ct_meso,meso_qPCR_run,meso_count,est_meso,Ct_rawratio,PlastidCount,cryptos_per_est_meso
,1802,RS,100,N,A,0,343.75,0,24.60445455,58583,0.378,5336,101.5643097,1.119635074,,,,,90.7119758,81.389,34.09,RS Run 2 16 May,686.3726978,29.28,MC Run 6 16 May,90.09900605,687.5,1.164275956,7.617983015,0.99836
,1802,RS,100,N,A,1,450,0,17.93355556,56430,0.326,4075,146.5327202,1.064833936,,,,,137.610866,91.002,33.93,RS Run 2 16 May,743.22447,29.51,MC Run 6 16 May,75.81235717,900,1.149779736,9.803473969,0.8258
,1802,RS,100,N,A,2,925,0,10.17624324,50690,0.341,3961,127.3900906,1.183740917,,,,,107.6165306,93.024,31.74,RS Run 2 16 May,2208.818342,28.02,MC Run 6 16 May,231.9957345,1850,1.132762313,9.520943764,1.19396
,1802,RS,100,N,A,4,1068.75,0,8.963,51462,0.3,5892,126.3209423,1.408088435,,,,,89.71094369,101.779,32.93,RS Run 2 16 May,1222.137303,28.8,MC Run 6 16 May,129.1814039,2137.5,1.143402778,9.460628741,0.57176
,1802,RS,100,N,A,6,1392.86,0,6.094025641,51235,0.224,5653,91.42262869,0.87658737,,,,,104.2938009,67.996,31.78,RS Run 2 16 May,2165.309593,28.13,MC Run 6 16 May,213.6092229,2785.714286,1.12975471,10.13677951,0.77729
,1802,RS,100,N,A,8,1471.43,0,5.908970874,79406,0.21,4680,106.1515044,1.515253601,,,,,70.05527284,94.596,32.53,RS Run 2 16 May,1491.145424,28.37,MC Run 6 16 May,178.3939,2942.857143,1.146633768,8.358724282,0.5067
,1802,RS,100,N,A,10,1300,0,5.406846154,59703,0.192,6898,98.68807469,1.440681399,,,,,68.50097099,88.584,31.07,RS Run 2 16 May,3082.336152,27.63,MC Run 6 16 May,310.8994831,2600,1.124502353,9.91425306,1.18551
,1802,RS,100,N,A,12,1350,0,5.029851852,55264,0.2,5134,72.93880743,1.437794091,,,,,50.72966141,70.163,31.18,RS Run 2 16 May,2918.23324,26.37,MC Run 6 16 May,800.5344021,2700,1.182404247,3.645356443,1.08083
,1802,RS,100,N,A,14,1214.29,0,4.895705882,62212,0.149,7046,80.61987069,1.241703344,,,,,64.92683705,73.538,28.54,RS Run 2 16 May,10848.25787,25.52,MC Run 6 16 May,1515.235023,2428.571429,1.118338558,7.159455598,4.46693
,1802,RS,100,N,B,0,406.25,0,21.291,59770,0.262,7345,36.40060468,0.883461813,,,,,41.20223891,35.837,32.83,RS Run 2 16 May,1284.458272,28.2,MC Run 6 16 May,202.6749152,812.5,1.164184397,6.337529589,1.58087
,1802,RS,100,N,B,1,593.75,0,14.37942105,57557,0.337,4715,165.340864,1.219941845,,,,,135.5317588,103.807,33.11,RS Run 2 16 May,1117.48062,29.22,MC Run 6 16 May,94.2497051,1187.5,1.133127995,11.8565954,0.94104
,1802,RS,100,N,B,2,637.5,0,14.90103922,51439,0.34,5066,157.341803,1.217068512,,,,,129.279331,102.11,31.88,RS Run 2 16 May,2060.250366,28.48,MC Run 6 16 May,164.25553,1275,1.119382022,12.54295892,1.61588
,1802,RS,100,N,B,4,828.57,0,11.65743966,52412,0.311,5939,145.0564884,1.282370676,,,,,113.1158807,102.764,29.84,RS Run 2 16 May,5682.768965,27.61,MC Run 6 16 May,315.6021841,1657.142857,1.080767838,18.00611419,3.42926
,1802,RS,100,N,B,6,1621.43,0,5.220444934,51993,0.253,5813,123.9209374,0.969469734,,,,,127.8234204,81.049,30.07,RS Run 2 16 May,5068.506409,26.05,MC Run 6 16 May,1017.888013,3242.857143,1.154318618,4.979434225,1.56298
,1802,RS,100,N,B,8,1528.57,0,6.084191589,80270,0.205,6595,75.48768032,1.28970405,,,,,58.53100975,70.691,30.12,RS Run 2 16 May,4944.017508,25.49,MC Run 6 16 May,1549.74413,3057.142857,1.181639859,3.190215347,1.6172
,1802,RS,100,N,B,10,1200,0,6.101541667,60462,0.22,6849,114.6794872,1.222983529,,,,,93.7702631,90.381,30.02,RS Run 2 16 May,5196.129904,25.31,MC Run 6 16 May,1773.944384,2400,1.186092454,2.929139126,2.16505
,1802,RS,100,N,B,12,1285.71,0,4.79225,56052,0.213,5796,91.82577939,1.439349781,,,,,63.79670917,84.17,29.78,RS Run 2 16 May,5854.906985,25.8,MC Run 6 16 May,1228.004618,2571.428571,1.154263566,4.767821635,2.27691
,1802,RS,100,N,B,14,1035.71,0,5.24,63265,0.206,4341,119.4284522,1.424511868,,,,,83.83815885,99.297,26.98,RS Run 2 16 May,23567.85188,23.43,MC Run 6 16 May,7274.782276,2071.428571,1.151515152,3.239664224,11.37758
,1802,RS,100,N,C,0,262.5,0,32.51,61005,0.35,5590,95.61029103,0.889677062,,,,,107.4662876,69.876,33.81,RS Run 2 16 May,788.9327777,28.58,MC Run 6 16 May,152.3772039,525,1.182995101,5.177498718,1.50273
,1802,RS,100,N,C,1,531.25,0,15.87,58326,0.292,5901,100.105427,0.921006783,,,,,108.6913027,72.668,31.42,RS Run 2 16 May,2589.882136,27.89,MC Run 6 16 May,255.7761229,1062.5,1.126568663,10.12558212,2.43754
,1802,RS,100,N,C,2,850,0,12.27,52218,0.336,4154,133.5692148,1.112553241,,,,,120.05647,91.101,30.28,RS Run 2 16 May,4565.832762,26.3,MC Run 6 16 May,843.7232172,1700,1.151330798,5.411529123,2.68578
,1802,RS,100,N,C,4,1221.43,0,7.78,53319,0.31,6157,173.9377149,1.14333902,,,,,152.1313555,100.289,30.9,RS Run 2 16 May,3354.285308,25.88,MC Run 6 16 May,1156.431732,2442.857143,1.193972179,2.90054762,1.3731
,1802,RS,100,N,C,6,1778.57,0,5.07,52788,0.228,6776,66.22931326,0.806729743,,,,,82.09603501,55.572,30.88,RS Run 2 16 May,3387.817445,25.55,MC Run 6 16 May,1481.494352,3557.142857,1.208610568,2.28675691,0.9524
,1802,RS,100,N,C,8,1785.71,0,5.42,81222,0.228,5961,106.3816397,1.170722149,,,,,90.86839239,85.177,31,RS Run 2 16 May,3191.537855,25.08,MC Run 6 16 May,2108.239762,3571.428571,1.236044657,1.513840082,0.89363
,1802,RS,100,N,C,10,1357.14,0,5.01,61228,0.216,6536,96.34485015,1.39108362,,,,,69.25884883,86.178,,,,,MC Run 6 16 May,3.16E+11,2714.285714,,,
,1802,RS,100,N,C,12,1321.43,0,5.638351351,56987,0.219,4732,107.6377216,1.368389822,,,,,78.66013017,91.938,,,,,MC Run 6 16 May,3.16E+11,2642.857143,,,
,1802,RS,100,N,C,14,1292.86,0,4.84,64073,0.208,5614,112.2766463,1.529821174,,,,,73.392007,98.465,,,,,MC Run 6 16 May,3.16E+11,2585.714286,,,
,1802,RS,100,Y,A,0,731.25,6887.5,20.98471429,61956,0.386,2353,115.3146476,1.082020226,,,,,106.5734677,84.693,31.17,RS Run 2 16 May,2932.783471,27.93,MC Run 6 16 May,248.2104146,1462.5,1.116004296,11.81571481,2.00532
,1802,RS,100,Y,A,1,987.5,5200,29.10945333,59086,0.459,6965,102.0965168,1.105834408,,,,,92.32532112,81.101,28.09,RS Run 2 16 May,13569.37985,26.61,MC Run 6 16 May,668.5594009,1975,1.055618189,20.29644611,6.87057
,1802,RS,100,Y,A,2,1825,4962.5,29.68397561,53060,0.396,12315,62.65300818,1.469221952,,,,,42.64366462,61.512,26.81,RS Run 2 16 May,25647.20245,24.65,MC Run 6 16 May,2911.387413,3650,1.087626775,8.8092716,7.02663
,1802,RS,100,Y,A,4,4975,228.57,14.70282734,54074,0.391,18613,76.86592238,1.252063571,,,,,61.39138951,71.17,23.58,RS Run 2 16 May,127855.6722,21.38,MC Run 6 16 May,33893.77952,9950,1.102899906,3.772245942,12.84982
,1802,RS,100,Y,A,6,8250,16.67,7.850064439,53557,0.33,17800,69.35229915,1.208053826,,,,,57.40828568,65.222,25.17,RS Run 2 16 May,57980.23884,21.75,MC Run 6 16 May,25674.38208,16500,1.157241379,2.258291501,3.51395
,1802,RS,100,Y,A,8,8783.33,0,6.088424658,81985,0.255,18203,88.97339309,1.130826406,,,,,78.67997477,75.989,25.26,RS Run 2 16 May,55442.14189,21.58,MC Run 6 16 May,29168.89654,17566.66667,1.170528267,1.900728121,3.1561
,1802,RS,100,Y,A,10,7700,0,4.359592058,62029,0.21,16757,62.52139807,1.033168147,,,,,60.51425243,58.095,25.53,RS Run 2 16 May,48475.24358,22.18,MC Run 6 16 May,18591.7384,15400,1.15103697,2.607354004,3.14774
,1802,RS,100,Y,A,12,8250,0,4.370661017,58572,0.186,15119,47.79192702,1.315056076,,,,,36.34212099,47.404,26.25,RS Run 2 16 May,33884.41561,22.91,MC Run 6 16 May,10748.30545,16500,1.145787866,3.152535603,2.0536
,1802,RS,100,Y,A,14,6500,0,4.07799187,64865,0.193,17218,53.23362031,1.568540749,,,,,33.9383088,52.941,26.51,RS Run 2 16 May,29774.19306,22.03,MC Run 6 16 May,20807.50463,13000,1.203359056,1.430935308,2.29032
,1802,RS,100,Y,B,0,750,5562.5,26.22784211,62750,0.395,3122,108.1927031,1.107337118,,,,,97.70529798,83.447,28.54,RS Run 2 16 May,10848.25787,25.99,MC Run 6 16 May,1064.780282,1500,1.098114659,10.18825954,7.23217
,1802,RS,100,Y,B,1,975,5087.5,27.723,59845,0.42,5700,73.82281747,1.038228937,,,,,71.10456552,65.46,28.34,RS Run 2 16 May,11982.84661,26.32,MC Run 6 16 May,831.1511306,1950,1.07674772,14.41716935,6.14505
,1802,RS,100,Y,B,2,1975,4212.5,25.851,53864,0.454,10741,58.77020084,1.269181764,,,,,46.30558247,57.226,26.51,RS Run 2 16 May,29774.19306,25.06,MC Run 6 16 May,2140.129237,3950,1.057861133,13.91233415,7.53777
,1802,RS,100,Y,B,4,5812.5,242.86,13.42581846,54821,0.435,20314,67.00667753,1.191027526,,,,,56.25955407,63.283,23.57,RS Run 2 16 May,128493.1571,21.54,MC Run 6 16 May,30057.99446,11625,1.094243268,4.274841334,11.05317
,1802,RS,100,Y,B,6,8433.33,16.67,8.044924198,54336,0.381,16301,57.89658082,1.135883907,,,,,50.97050891,55.652,23.63,RS Run 2 16 May,124715.3759,21.09,MC Run 6 16 May,42136.64953,16866.66667,1.120436226,2.959783876,7.39419
