MCstrain,Prey,Light,Fed,Rep,ExptDay,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,FvFm_0,Sigma_0,ETR
NA,SM,10,NA,A,0,hm100119.001,10/1/19,58002,0,11086,22905,24377,11819,13290,0.516,0.545,140.5,0.51,0.33,196,0.53,1538,0.15,26664,--------,-------,1023,4752,0,11716,0.05,1100,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11055.5,1,0.516,140.5,0
NA,SM,10,NA,A,0,hm100119.002,10/1/19,58031,5,11975,24053,25232,12078,13257,0.502,0.525,138.8,0.46,0.31,303,0.52,1994,0.17,24729,--------,-------,1357,5319,0,12641,0.05,1100,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11749.3,0.98,0.516,140.5,8.393189
NA,SM,10,NA,A,0,hm100119.003,10/1/19,58060,10,14460,27819,29145,13359,14686,0.48,0.504,126,0.4,0.4,641,0.43,3213,0.17,25025,--------,-------,1977,5938,0,15212,0.05,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13640.3,0.94,0.516,140.5,16.05072
NA,SM,10,NA,A,0,hm100119.004,10/1/19,58089,15,13654,25520,26838,11865,13183,0.465,0.491,123.8,0.4,0.39,598,0.46,3093,0.15,26773,--------,-------,1942,5547,0,14265,0.04,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12649.7,0.92,0.516,140.5,23.3237025
NA,SM,10,NA,A,0,hm100119.005,10/1/19,58118,20,13772,24922,26221,11149,12449,0.447,0.475,121.4,0.4,0.41,643,0.44,3045,0.15,25412,--------,-------,1898,5398,0,14365,0.04,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12549.7,0.9,0.516,140.5,29.894466
NA,SM,10,NA,A,0,hm100119.006,10/1/19,58147,31.8,14580,24266,25632,9686,11051,0.399,0.431,113,0.38,0.49,917,0.37,4764,0.14,26505,--------,-------,2569,5806,0,15079,0.03,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12573.8,0.83,0.516,140.5,42.42807198
NA,SM,10,NA,A,0,hm100119.007,10/1/19,58175,43.5,15201,23923,25306,8721,10105,0.365,0.399,108.5,0.37,0.49,1004,0.37,5488,0.13,26051,--------,-------,2931,6012,0,15676,0.03,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12632.5,0.77,0.516,140.5,53.09277225
NA,SM,10,NA,A,0,hm100119.008,10/1/19,58204,55.3,16026,24163,25558,8137,9533,0.337,0.373,105,0.35,0.48,1055,0.37,5588,0.15,22911,--------,-------,3018,5905,0,16429,0.02,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12955.6,0.73,0.516,140.5,62.31725479
NA,SM,10,NA,A,0,hm100119.009,10/1/19,58233,67.1,16045,23098,24344,7053,8299,0.305,0.341,101.7,0.36,0.47,1104,0.38,6052,0.15,21501,--------,-------,3312,6030,0,16413,0.02,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12649.7,0.68,0.516,140.5,68.43458545
NA,SM,10,NA,A,0,hm100119.010,10/1/19,58262,78.8,15602,21660,22778,6057,7176,0.28,0.315,98.9,0.37,0.44,1115,0.41,6078,0.15,20546,--------,-------,3491,6069,0,15892,0.02,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12096.5,0.63,0.516,140.5,73.7798096
NA,SM,10,NA,A,0,hm100119.011,10/1/19,58291,90.6,15206,20416,21404,5211,6198,0.255,0.29,97.6,0.37,0.43,1138,0.42,6431,0.15,20428,--------,-------,3757,6250,0,15467,0.02,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11717.2,0.6,0.516,140.5,77.2541217
NA,SM,10,NA,A,0,hm100119.012,10/1/19,58320,102.3,14999,19384,20165,4385,5166,0.226,0.256,96.9,0.41,0.42,1245,0.38,6585,0.2,17352,--------,-------,3803,6533,0,15195,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11498.5,0.56,0.516,140.5,77.31029922
NA,SM,10,NA,A,0,hm100119.013,10/1/19,58349,114.1,14712,18455,19109,3743,4396,0.203,0.23,94.5,0.41,0.4,1235,0.39,6679,0.21,17340,--------,-------,3917,6733,0,14887,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11371.4,0.53,0.516,140.5,77.45241497
NA,SM,10,NA,A,0,hm100119.014,10/1/19,58377,125.9,14614,17938,18494,3324,3879,0.185,0.21,92.8,0.4,0.38,1197,0.42,6690,0.2,17123,--------,-------,4070,6690,0,14761,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11392.1,0.51,0.516,140.5,77.88444685
NA,SM,10,NA,A,0,hm100119.015,10/1/19,58406,137.6,14355,17168,17637,2813,3282,0.164,0.186,97.7,0.45,0.34,1195,0.42,6361,0.24,19458,--------,-------,4051,7762,0,14510,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11236.4,0.47,0.516,140.5,75.45978496
NA,SM,10,NA,A,0,hm100119.016,10/1/19,58435,149.4,14024,16520,16888,2496,2863,0.151,0.17,94.7,0.43,0.39,1295,0.3,7139,0.32,12988,--------,-------,3833,6758,0,14126,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11071.9,0.46,0.516,140.5,75.43637766
NA,SM,10,NA,A,0,hm100119.017,10/1/19,58464,161.2,13806,16003,16311,2198,2505,0.137,0.154,95.2,0.45,0.32,1233,0.46,6744,0.22,25296,--------,-------,4475,9079,0,13949,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10971.4,0.44,0.516,140.5,73.84802516
NA,SM,10,NA,A,0,hm100119.018,10/1/19,58493,172.9,13657,15635,15924,1978,2267,0.127,0.142,93.1,0.47,0.3,1201,0.45,6423,0.25,21768,--------,-------,4326,8654,0,13774,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10961.5,0.42,0.516,140.5,73.42635937
NA,SM,10,NA,A,0,hm100119.019,10/1/19,58522,184.7,13949,15776,16036,1827,2087,0.116,0.13,95.9,0.45,0.31,1210,0.37,6329,0.32,16728,--------,-------,4011,8034,0,14044,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11268.4,0.41,0.516,140.5,71.64372628
NA,SM,10,NA,A,0,hm100119.020,10/1/19,58551,196.5,14134,15797,16026,1663,1891,0.105,0.118,95.4,0.49,0.29,1233,0.38,6400,0.33,19303,--------,-------,4158,9135,0,14230,0.01,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11461,0.38,0.516,140.5,68.99301675
NA,SM,10,NA,B,0,hm100119.021,10/1/19,58593,0,10804,21884,23624,11079,12819,0.506,0.543,138.7,0.51,0.33,210,0.52,1542,0.15,24835,--------,-------,1022,4705,0,11374,0.05,1100,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,10995.5,1,0.506,138.7,0
NA,SM,10,NA,B,0,hm100119.022,10/1/19,58622,5,11956,23605,25145,11649,13189,0.493,0.525,138.8,0.46,0.32,322,0.5,2072,0.18,23641,--------,-------,1394,5323,0,12599,0.05,1100,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,11967.6,1,0.506,138.7,8.297925408
NA,SM,10,NA,B,0,hm100119.023,10/1/19,58651,10,14594,27981,29925,13388,15331,0.478,0.512,123.1,0.39,0.4,649,0.4,3209,0.19,21738,--------,-------,1927,5765,0,15375,0.05,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,13996,0.96,0.506,138.7,16.09090606
NA,SM,10,NA,B,0,hm100119.024,10/1/19,58679,15,13730,25691,27294,11961,13564,0.466,0.497,123.8,0.4,0.4,611,0.44,2991,0.16,23541,--------,-------,1862,5403,0,14399,0.05,900,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,12927.5,0.94,0.506,138.7,23.5304254
